Experiment,Gel,Sample,Replicate,Genotype,Treatment,NormSignal
Exp1,Gel1,HG01112,HG01112.1,AA,Vehicle,161.21322362309223
Exp1,Gel1,HG01112,HG01112.2,AA,Vehicle,144.3626923871857
Exp1,Gel1,HG01112,HG01112.3,AA,Vehicle,145.71813132400433
Exp1,Gel1,HG01112,HG01112.4,AA,Thapsi,47.651318262237076
Exp1,Gel1,HG01112,HG01112.5,AA,Thapsi,54.14658862679848
Exp1,Gel1,HG01112,HG01112.6,AA,Thapsi,65.58149907994274
Exp1,Gel1,HG01435,HG01435.1,CC,Vehicle,46.530506666666675
Exp1,Gel1,HG01435,HG01435.2,CC,Vehicle,67.78205336374002
Exp1,Gel1,HG01435,HG01435.3,CC,Vehicle,161.74602025316457
Exp1,Gel1,HG01435,HG01435.4,CC,Thapsi,53.99970916754478
Exp1,Gel1,HG01435,HG01435.5,CC,Thapsi,89.09438001041124
Exp1,Gel1,HG01435,HG01435.6,CC,Thapsi,96.3608911189162
Exp1,Gel2,HG01125,HG01125.1,AA,Vehicle,103.07509818679438
Exp1,Gel2,HG01125,HG01125.2,AA,Vehicle,142.87947633328986
Exp1,Gel2,HG01125,HG01125.3,AA,Vehicle,85.40064164361911
Exp1,Gel2,HG01125,HG01125.4,AA,Thapsi,56.007901012373466
Exp1,Gel2,HG01125,HG01125.5,AA,Thapsi,42.885443267193224
Exp1,Gel2,HG01125,HG01125.6,AA,Thapsi,29.4080545823345
Exp1,Gel2,HG01142,HG01142.1,CC,Vehicle,165.88252747252747
Exp1,Gel2,HG01142,HG01142.2,CC,Vehicle,155.39728649835345
Exp1,Gel2,HG01142,HG01142.3,CC,Vehicle,121.33963636363636
Exp1,Gel2,HG01142,HG01142.4,CC,Thapsi,74.06901087197691
Exp1,Gel2,HG01142,HG01142.5,CC,Thapsi,60.34345081967214
Exp1,Gel2,HG01142,HG01142.6,CC,Thapsi,70.17356571978816
Exp1,Gel3,GM20073,GM20073.1,EIF2B2,Vehicle,44.86057081717266
Exp1,Gel3,GM20073,GM20073.2,EIF2B2,Vehicle,53.274518090066685
Exp1,Gel3,GM20073,GM20073.3,EIF2B2,Vehicle,50.030364738805964
Exp1,Gel3,GM20073,GM20073.4,EIF2B2,Thapsi,37.369
Exp1,Gel3,GM20073,GM20073.5,EIF2B2,Thapsi,34.539693883357025
Exp1,Gel3,GM20073,GM20073.6,EIF2B2,Thapsi,30.308608240087967
Exp2,Gel4,HG01565,HG01565.1,CC,Vehicle,306.7935719838756
Exp2,Gel4,HG01565,HG01565.2,CC,Vehicle,269.0770907625542
Exp2,Gel4,HG01565,HG01565.3,CC,Vehicle,287.24747455919396
Exp2,Gel4,HG01565,HG01565.4,CC,Thapsi,73.46033290852448
Exp2,Gel4,HG01565,HG01565.5,CC,Thapsi,62.67170652989741
Exp2,Gel4,HG01565,HG01565.6,CC,Thapsi,69.34656397390866
Exp2,Gel4,HG01932,HG01932.1,AA,Vehicle,270.50244329654845
Exp2,Gel4,HG01932,HG01932.2,AA,Vehicle,261.42147971821385
Exp2,Gel4,HG01932,HG01932.3,AA,Vehicle,279.5768330900243
Exp2,Gel4,HG01932,HG01932.4,AA,Thapsi,120.49668748419722
Exp2,Gel4,HG01932,HG01932.5,AA,Thapsi,123.45053806980499
Exp2,Gel4,HG01932,HG01932.6,AA,Thapsi,150.2718429718329
Exp2,Gel5,HG01572,HG01572.1,CC,Vehicle,136.63655777903043
Exp2,Gel5,HG01572,HG01572.2,CC,Vehicle,113.41452889667248
Exp2,Gel5,HG01572,HG01572.3,CC,Vehicle,128.06786836158193
Exp2,Gel5,HG01572,HG01572.4,CC,Thapsi,36.429350908397915
Exp2,Gel5,HG01572,HG01572.5,CC,Thapsi,36.37061992287917
Exp2,Gel5,HG01572,HG01572.6,CC,Thapsi,46.02594032004197
Exp2,Gel5,HG02260,HG02260.1,AA,Vehicle,192.41373768394112
Exp2,Gel5,HG02260,HG02260.2,AA,Vehicle,167.6554665741383
Exp2,Gel5,HG02260,HG02260.3,AA,Vehicle,221.3944311657879
Exp2,Gel5,HG02260,HG02260.4,AA,Thapsi,62.86736267423851
Exp2,Gel5,HG02260,HG02260.5,AA,Thapsi,67.60368508794959
Exp2,Gel5,HG02260,HG02260.6,AA,Thapsi,89.49160314148975
Exp2,Gel6,GM20074,GM20074.1,EIF2B2,Vehicle,194.64423061056107
Exp2,Gel6,GM20074,GM20074.2,EIF2B2,Vehicle,99.29277319205691
Exp2,Gel6,GM20074,GM20074.3,EIF2B2,Vehicle,85.41806547517729
Exp2,Gel6,GM20074,GM20074.4,EIF2B2,Thapsi,25.974
Exp2,Gel6,GM20074,GM20074.5,EIF2B2,Thapsi,20.47904315365089
Exp2,Gel6,GM20074,GM20074.6,EIF2B2,Thapsi,18.12890577401692
